order_id,order_number,log_line
38,ORD-20250708-VZA9,2025-07-08 09:31 Created By system | 2025-07-08 09:31 Status: Processing By system | 2025-07-08 09:31 Updated By system | 2025-07-08 09:31 Status changed to Pending By system | 2025-07-08 09:31 Final amount changed to 2330.00 By system | 2025-07-08 09:31 Updated By system | 2025-07-08 09:32 Updated By system | 2025-07-08 09:32 Status changed to Cancelled By system
40,ORD-20250708-Q8H5,2025-07-08 10:41 Created By system | 2025-07-08 10:41 Status: Processing By system | 2025-07-08 10:41 Updated By system | 2025-07-08 10:41 Status changed to Pending By system | 2025-07-08 10:41 Final amount changed to 2330.00 By system | 2025-07-08 10:41 Updated By system | 2025-07-08 10:42 Updated By system | 2025-07-08 10:42 Status changed to Cancelled By system
41,ORD-20250708-OYC4,2025-07-08 10:46 Created By system | 2025-07-08 10:46 Status: Confirmed By system | 2025-07-08 10:46 Updated By system | 2025-07-08 10:46 Final amount changed to 19000 By system | 2025-07-08 10:46 Updated By system
42,ORD-20250708-PFYY,2025-07-08 10:48 Created By system | 2025-07-08 10:48 Status: Processing By system | 2025-07-08 10:48 Updated By system | 2025-07-08 10:48 Status changed to Pending By system | 2025-07-08 10:48 Final amount changed to 2330.00 By system | 2025-07-08 10:48 Updated By system | 2025-07-08 10:49 Updated By system | 2025-07-08 10:49 Status changed to Confirmed By system
43,ORD-20250708-LN03,2025-07-08 11:30 Created By system | 2025-07-08 11:30 Status: Processing By system | 2025-07-08 11:30 Updated By system | 2025-07-08 11:30 Status changed to Pending By system | 2025-07-08 11:30 Final amount changed to 19000.00 By system | 2025-07-08 11:30 Updated By system | 2025-07-08 11:30 Updated By system | 2025-07-08 11:30 Status changed to Confirmed By system
44,ORD-20250708-S1XA,2025-07-08 12:49 Created By system | 2025-07-08 12:49 Status: Processing By system | 2025-07-08 12:49 Updated By system | 2025-07-08 12:49 Status changed to Pending By system | 2025-07-08 12:49 Final amount changed to 10000.00 By system | 2025-07-08 12:49 Updated By system | 2025-07-08 12:50 Updated By system | 2025-07-08 12:50 Status changed to Confirmed By system
